id,type,name,year,setCount
0,null,null,2024,0
1,Mainline,HW Dream Garage,2024,5
2,Mainline,New for 2024!,2024,10
3,Mainline,Batman,2024,5
4,Mainline,HW Screen Time,2024,10
5,Mainline,HW Fast Transit,2024,5
6,Mainline,HW First Response,2024,10
7,Mainline,HW Modified,2024,10
8,Mainline,Factory Fresh,2024,10
9,Mainline,HW Green Speed,2024,10
10,Mainline,HW Xtreme Sports,2024,5
11,Mainline,HW Mega Bite,2024,5
12,Mainline,HW Roadsters,2024,5
13,Mainline,Compact Kings,2024,5
14,Mainline,Experimotors,2024,5
15,Mainline,Rod Squad,2024,5
16,Mainline,HW Celebration Racers,2024,10
17,Mainline,HW Reverse Rake,2024,5
18,Mainline,HW Hot Trucks,2024,10
19,Mainline,HW J-Imports,2024,10
20,Mainline,HW Turbo,2024,5
21,Mainline,HW Art Cars,2024,10
22,Mainline,HW Race Day,2024,10
23,Mainline,Hot Wheels Let's Race,2024,5
24,Mainline,HW Ride-Ons,2024,5
25,Mainline,HW Metro,2024,10
26,Mainline,HW Track Champs,2024,5
27,Mainline,Fast Foodie,2024,5
28,Mainline,Muscle Mania,2024,5
29,Mainline,HW Exotics,2024,10
30,Mainline,Tooned,2024,5
31,Mainline,Quarter Mile Heroes,2024,5
32,Mainline,HW: The '90s,2024,10
33,Mainline,HW Dirt,2024,10
34,Mainline,HW Vans,2024,5
35,Mainline,HW Rolling Metal,2024,5
36,Mainline,Then and Now,2024,10
37,Mainline,Red Edition,2024,12
38,Mainline,New for 2024!,2024,0
39,Mainline,Kroger Exclusive,2024,0
40,Mainline,Target Exclusive,2024,0
41,Mainline,Treasure Hunt,2024,0
42,Mainline,Family Dollar/Dollar Tree Exclusive,2024,0
43,Mainline,Walgreens Exclusive,2024,0
44,Mainline,Earth Day,2024,0
45,Mainline,International Women's Day,2024,0
46,Mainline,Leap Year,2024,0
47,Mainline,New in Mainline,2024,0
48,Mainline,International Friendship Day,2024,0
49,Mainline,Valentine's Day,2024,0
50,Mainline,Day of the Dead/Halloween,2024,0
51,Mainline,Year of the Dragon,2024,0
